col1;col2;col3
Simone-Weil-morale;attention;L’attention est la base de la justice envers autrui.
Habermas;espace-public;Espace de discussion rationnelle pour former l’opinion.
Ricœur;justice;Justice comme équilibre entre égalité et reconnaissance.
Gramsci;hégémonie;Domination culturelle qui fabrique le consentement.
Althusser;idéologie;Appareils idéologiques d’État qui reproduisent l’ordre social.
Merleau-Ponty-monde;chair;Le monde est perçu à partir d’un corps vivant.
Lévi-Strauss;structure;Structures inconscientes organisent les cultures.
Barthes;mythologies;Les médias transforment le culturel en “naturel”.
Cassirer;symbolique;L’homme est un animal symbolique (langage, mythe, art).
Mounier;personne;La personne est relation et engagement, pas individu isolé.
Aron;histoire;Comprendre l’histoire par les choix et les responsabilités.
Simone-Weil-politique;force;La force déshumanise celui qui la subit et celui qui l’exerce.
Sartre-politique;engagement;Assumer publiquement la responsabilité de ses choix.
Camus-politique;révolte;Révolte mesurée qui refuse l’injustice sans nihilisme.
Rousseau-éducation;Émile;Former un citoyen libre par une éducation naturelle.
Hegel-histoire;ruse-raison;La raison se sert des passions pour se réaliser.
Marx-histoire;lutte-classes;Conflit des classes comme moteur historique.
Bourdieu-école;reproduction;L’école reproduit des inégalités sociales.
Rawls-droit;libertés-fondamentales;Priorité des libertés de base dans la justice.
Nozick-droits;propriété;Droits inviolables de propriété et d’échange.
Simone-Weil-justice;enracinement;Besoin d’enracinement pour une vie juste et digne.
Zénon-d-Élée;paradoxes;Paradoxes du mouvement pour défendre l’unité immobile.
Anaximandre;apeiron;Principe indéterminé et infini à l’origine des choses.
Anaxagore;noûs;L’intellect ordonne le cosmos et met le monde en mouvement.
Thalès;eau;L’eau est le principe premier (archè) du monde.
Diogène;cynisme;Vie simple et critique des conventions pour atteindre la liberté.
Plotin;Un;Principe suprême d’où émanent l’Intellect et l’Âme.
Boèce;consolation;La philosophie console face à l’adversité et au destin.
Avicenne;essence-existence;Distinction entre essence et existence chez les êtres contingents.
Averroès;commentaire;Grand commentateur d’Aristote, conciliation de la raison et de la foi.
Maïmonide;guide;Lire les Écritures de façon rationnelle (Guide des égarés).
Bacon;idoles;Biais de l’esprit à dépasser par la méthode expérimentale.
Giordano-Bruno;infini;Univers infini et pluralité des mondes.
Spinoza-politique;liberté-expression;Liberté d’exprimer ses idées comme condition de paix civile.
Locke-politique;droits-naturels;Droits naturels (vie, liberté, propriété) fondent le pouvoir politique.
Rousseau-morale;pitié;La pitié naturelle fonde la morale avant la raison.
Pascal-connaissance;esprit-finesse;Connaître aussi par intuition et finesse, pas seulement par géométrie.
